callsign,contour_type,area,filename,lat,lon,frequency,power,region,state,city,owner
WYPZ,day_2,0.4272280395962298,WYPZ_2_D_as1.kml,32.8494444444444,-83.6022222222222,900.0,0.145,Southeast,GA,MACON,"Macon Urban Radio Alliance, LLC"
WLIN,night_2,0.06552008748985827,WLIN_2_N_as1.kml,39.7388888888889,-77.6027777777778,1380.0,1.0,Great Lakes,PA,WAYNESBORO,HJV LIMITED PARTNERSHIP
WQMV,day_0.5,0.714949777815491,WQMV_0.5_D_as1.kml,36.0876111111111,-87.8550555555556,1060.0,1.0,Mid-South,TN,WAVERLY,"DCDL MEDIA, INC."
KRFE,night_2,1.2304880840238184,KRFE_2_N_as1.kml,33.5333333333333,-101.820555555556,580.0,0.29,Gulf Coast,TX,LUBBOCK,"KRFE RADIO, INC."
WFAT,day_0.5,1.3238184018991888,WFAT_0.5_D_as1.kml,42.2919722222222,-85.1833333333333,930.0,5.0,Great Lakes,MI,BATTLE CREEK,"MIDWEST COMMUNICATIONS, INC."
KWOA,day_2,2.8041180348955095,KWOA_2_D_as1.kml,43.6299722222222,-95.6783333333333,730.0,0.159,Upper Midwest,MN,WORTHINGTON,"ABSOLUTE COMMUNICATIONS II, L.L.C."
WJBB,night_2,0.094406969321426,WJBB_2_N_as1.kml,33.9278888888889,-83.7268333333333,1300.0,0.65,Southeast,GA,WINDER,BARROW RADIO BROADCASTING LLC
WOEG,night_2,0.157818115898408,WOEG_2_N_as1.kml,31.8926666666667,-90.4023055555556,1220.0,0.164,Gulf Coast,MS,HAZLEHURST,"TELESOUTH COMMUNICATIONS, INC."
KOKX,day_0.5,2.148213664884679,KOKX_0.5_D_as1.kml,40.3805555555556,-91.3525,1310.0,0.5,Plains,IA,KEOKUK,KEOKUK BROADCASTING INC
WBBW,night_2,0.44707974628545344,WBBW_2_N_as3.kml,41.0805555555556,-80.6483333333333,1240.0,1.0,Great Lakes,OH,YOUNGSTOWN,CUMULUS LICENSING LLC
WCOS,day_2,0.08336208679247648,WCOS_2_D_as3.kml,34.005,-81.0119444444444,1400.0,1.0,Southeast,SC,COLUMBIA,"IHM LICENSES, LLC"
KRLC,day_2,0.5773739295545965,KRLC_2_D_as1.kml,46.3929444444444,-116.992111111111,1350.0,0.158,Rockies,ID,LEWISTON,"McVey Entertainment Group, LLC"
WGYM,day_0.5,0.33808803698047996,WGYM_0.5_D_as1.kml,39.6259444444444,-74.7951666666667,1580.0,0.006,Mid-Atlantic,NJ,HAMMONTON,Domestic Church Media Foundation
KPGM,day_0.5,2.0678812069818377,KPGM_0.5_D_as1.kml,36.76175,-96.1997222222222,1500.0,0.5,Plains,OK,PAWHUSKA,"POTTER RADIO, LLC"
WZQZ,day_0.5,0.9439290600130334,WZQZ_0.5_D_as1.kml,34.4727777777778,-85.3252777777778,1180.0,5.0,Southeast,GA,TRION,"HS PRODUCTIONS, INC."
WPGP,night_2,0.32672153308521956,WPGP_2_N_as1.kml,40.3972222222222,-79.9619444444444,1250.0,5.0,Great Lakes,PA,PITTSBURGH,SALEM COMMUNICATIONS HOLDING CORPORATION
WBOK,day_2,0.817596681183204,WBOK_2_D_as3.kml,29.9883333333333,-90.0458333333333,1230.0,1.0,Gulf Coast,LA,NEW ORLEANS,EQUITY MEDIA LLC
WLEA,night_2,0.18188938836101443,WLEA_2_N_as1.kml,42.2875,-77.6463888888889,1480.0,0.019,Northeast,NY,HORNELL,"Radio Livingston, Limited"
WQLA,night_2,0.1305736149661243,WQLA_2_N_as1.kml,36.3672222222222,-84.1472222222222,960.0,1.0,Mid-South,TN,LA FOLLETTE,"CLINTON BROADCASTERS, INC."
WCSL,day_0.5,0.5339531153440475,WCSL_0.5_D_as1.kml,35.3741666666667,-81.4044444444445,1590.0,10.0,Southeast,NC,CHERRYVILLE,"KTC BROADCASTING, INC."
KGMI,day_2,2.3741842885501683,KGMI_2_D_as1.kml,48.7217777777778,-122.446555555556,790.0,5.0,Pacific Northwest,WA,BELLINGHAM,"SAGA BROADCASTING, LLC"
KNSN,night_2,2.207990057533607,KNSN_2_N_as1.kml,32.6941666666667,-117.121388888889,1240.0,0.55,California,CA,SAN DIEGO,"KIERTRON, INC."
WMSO,night_2,0.24754569632932544,WMSO_2_N_as3.kml,34.9825,-90.0125,1240.0,0.58,Gulf Coast,MS,SOUTHAVEN,ARLINGTON BROADCASTING COMPANY
KGEM,night_2,0.9482982058543712,KGEM_2_N_as1.kml,43.5963888888889,-116.25,1140.0,10.0,Rockies,ID,BOISE,"SALT & LIGHT RADIO, INC."
WZJY,day_0.5,8.945956132898573,WZJY_0.5_D_as1.kml,32.8251666666667,-79.8311944444444,1480.0,0.88,Southeast,SC,MOUNT PLEASANT,"NORSAN COMMUNICATIONS AND MANAGEMENT, LLC."
WBEC,day_0.5,0.43686815758701414,WBEC_0.5_D_as1.kml,42.4444444444444,-73.2786111111111,1420.0,1.0,Northeast,MA,PITTSFIELD,"Townsquare License, LLC"
KKMS,day_2,0.3646320722764358,KKMS_2_D_as3.kml,44.7883055555556,-93.2152222222222,980.0,5.0,Upper Midwest,MN,RICHFIELD,SALEM COMMUNICATIONS HOLDING CORPORATION
KDKT,day_0.5,3.9598734140163288,KDKT_0.5_D_as1.kml,47.2875,-101.762777777778,1410.0,0.189,Upper Midwest,ND,BEULAH,"DIGITAL SYNDICATE NETWORK, LLC"
WKAC,day_0.5,1.2592604830861092,WKAC_0.5_D_as1.kml,34.8369444444445,-86.9744444444444,1080.0,5.0,Gulf Coast,AL,ATHENS,"LIMESTONE BROADCASTING COMPANY, INC."
WEBC,day_0.5,11.773956200107932,WEBC_0.5_D_as1.kml,46.6436111111111,-91.9858333333333,560.0,5.0,Upper Midwest,MN,DULUTH,"Townsquare License, LLC"
WRCR,day_0.5,0.7998461233219132,WRCR_0.5_D_as1.kml,41.1895277777778,-74.0148611111111,1700.0,10.0,Northeast,NY,HAVERSTRAW,"ALEXANDER BROADCASTING, INC."
WFMB,day_2,0.6520257425727323,WFMB_2_D_as3.kml,39.76,-89.6513888888889,1450.0,1.0,Great Lakes,IL,SPRINGFIELD,"Woodward Communications, Inc."
WWAB,night_2,0.07701245334465057,WWAB_2_N_as1.kml,28.0444444444444,-81.9744444444444,1330.0,1.0,Southeast,FL,LAKELAND,"WALCO ENTERPRISES, LLC"
KQNK,day_0.5,3.0601145842811093,KQNK_0.5_D_as1.kml,39.8269444444445,-99.8688888888889,1530.0,1.0,Plains,KS,NORTON,"DIERKING COMMUNICATIONS, INC."
WLAQ,day_0.5,0.32852817804086953,WLAQ_0.5_D_as1.kml,34.2600833333333,-85.2052222222222,1410.0,1.0,Southeast,GA,ROME,CRIPPLE CREEK BROADCASTING COMPANY
KNFL,day_2,12.886480200802907,KNFL_2_D_as1.kml,46.9746944444444,-96.5036944444445,740.0,0.94,Upper Midwest,ND,FARGO,"MIDWEST COMMUNICATIONS, INC."
WWNL,day_2,0.972142630838789,WWNL_2_D_as1.kml,40.6047222222222,-79.9602777777778,1080.0,50.0,Great Lakes,PA,PITTSBURGH,"STEEL CITY RADIO, INC."
WSFB,day_0.5,0.17872294643893838,WSFB_0.5_D_as3.kml,30.7808333333333,-83.575,1490.0,1.0,Southeast,GA,QUITMAN,"SMALLTOWN BROADCASTING, LLC"
KZRG,night_2,0.857029581675306,KZRG_2_N_as1.kml,37.1175555555556,-94.5449444444444,1310.0,1.0,Mid-South,MO,JOPLIN,"ZIMMER RADIO, INC."
